jobID,skill,rating
"Environmental.Science.and.Protection.Technicians,.Including.Health",Active Learning,3.12
"Geological.Technicians,.Except.Hydrologic.Technicians",Active Learning,2.87
Nuclear.Technicians,Active Learning,3.12
Nuclear.Monitoring.Technicians,Active Learning,3.12
Social.Science.Research.Assistants,Active Learning,3.62
Forest.and.Conservation.Technicians,Active Learning,3
Forensic.Science.Technicians,Active Learning,3.62
Quality.Control.Analysts,Active Learning,3.12
Remote.Sensing.Technicians,Active Learning,3.5
Occupational.Health.and.Safety.Specialists,Active Learning,4
Occupational.Health.and.Safety.Technicians,Active Learning,3.25
Substance.Abuse.and.Behavioral.Disorder.Counselors,Active Learning,4
"Educational,.Guidance,.and.Career.Counselors.and.Advisors",Active Learning,3.88
Marriage.and.Family.Therapists,Active Learning,4.25
Mental.Health.Counselors,Active Learning,4.12
Rehabilitation.Counselors,Active Learning,3.25
"Child,.Family,.and.School.Social.Workers",Active Learning,3.75
Healthcare.Social.Workers,Active Learning,4
Mental.Health.and.Substance.Abuse.Social.Workers,Active Learning,3.88
Health.Education.Specialists,Active Learning,3.62
Probation.Officers.and.Correctional.Treatment.Specialists,Active Learning,3.25
Social.and.Human.Service.Assistants,Active Learning,3.25
Community.Health.Workers,Active Learning,3.62
Clergy,Active Learning,4.12
"Directors,.Religious.Activities.and.Education",Active Learning,3.75
Lawyers,Active Learning,4.25
Judicial.Law.Clerks,Active Learning,4.12
"Administrative.Law.Judges,.Adjudicators,.and.Hearing.Officers",Active Learning,4.12
"Arbitrators,.Mediators,.and.Conciliators",Active Learning,4
"Judges,.Magistrate.Judges,.and.Magistrates",Active Learning,4.62
Paralegals.and.Legal.Assistants,Active Learning,3.25
"Title.Examiners,.Abstractors,.and.Searchers",Active Learning,3.12
"Business.Teachers,.Postsecondary",Active Learning,4.38
"Computer.Science.Teachers,.Postsecondary",Active Learning,4.12
"Mathematical.Science.Teachers,.Postsecondary",Active Learning,4.12
"Architecture.Teachers,.Postsecondary",Active Learning,4.5
"Engineering.Teachers,.Postsecondary",Active Learning,4.12
"Agricultural.Sciences.Teachers,.Postsecondary",Active Learning,4.5
"Biological.Science.Teachers,.Postsecondary",Active Learning,4.5
"Forestry.and.Conservation.Science.Teachers,.Postsecondary",Active Learning,4.25
"Atmospheric,.Earth,.Marine,.and.Space.Sciences.Teachers,.Postsecondary",Active Learning,4.25
"Chemistry.Teachers,.Postsecondary",Active Learning,4
"Environmental.Science.Teachers,.Postsecondary",Active Learning,4.25
"Physics.Teachers,.Postsecondary",Active Learning,4.38
"Anthropology.and.Archeology.Teachers,.Postsecondary",Active Learning,4.38
"Area,.Ethnic,.and.Cultural.Studies.Teachers,.Postsecondary",Active Learning,4
"Economics.Teachers,.Postsecondary",Active Learning,4.12
"Geography.Teachers,.Postsecondary",Active Learning,4.12
"Political.Science.Teachers,.Postsecondary",Active Learning,4
"Psychology.Teachers,.Postsecondary",Active Learning,4.62
"Sociology.Teachers,.Postsecondary",Active Learning,4.38
"Health.Specialties.Teachers,.Postsecondary",Active Learning,4
"Nursing.Instructors.and.Teachers,.Postsecondary",Active Learning,4
"Education.Teachers,.Postsecondary",Active Learning,4.25
"Library.Science.Teachers,.Postsecondary",Active Learning,4.38
"Criminal.Justice.and.Law.Enforcement.Teachers,.Postsecondary",Active Learning,4
"Law.Teachers,.Postsecondary",Active Learning,4.75
"Social.Work.Teachers,.Postsecondary",Active Learning,4.88
"Art,.Drama,.and.Music.Teachers,.Postsecondary",Active Learning,4.25
"Communications.Teachers,.Postsecondary",Active Learning,4.25
"English.Language.and.Literature.Teachers,.Postsecondary",Active Learning,4
"Foreign.Language.and.Literature.Teachers,.Postsecondary",Active Learning,4
"History.Teachers,.Postsecondary",Active Learning,4
"Philosophy.and.Religion.Teachers,.Postsecondary",Active Learning,4.38
"Family.and.Consumer.Sciences.Teachers,.Postsecondary",Active Learning,4.12
"Recreation.and.Fitness.Studies.Teachers,.Postsecondary",Active Learning,4
"Career/Technical.Education.Teachers,.Postsecondary",Active Learning,4
"Preschool.Teachers,.Except.Special.Education",Active Learning,3
"Kindergarten.Teachers,.Except.Special.Education",Active Learning,3.12
"Elementary.School.Teachers,.Except.Special.Education",Active Learning,3.88
"Middle.School.Teachers,.Except.Special.and.Career/Technical.Education",Active Learning,3.88
"Career/Technical.Education.Teachers,.Middle.School",Active Learning,3.5
"Secondary.School.Teachers,.Except.Special.and.Career/Technical.Education",Active Learning,3.75
"Career/Technical.Education.Teachers,.Secondary.School",Active Learning,3.75
"Special.Education.Teachers,.Preschool",Active Learning,3.75
"Special.Education.Teachers,.Middle.School",Active Learning,3.88
"Special.Education.Teachers,.Secondary.School",Active Learning,3.88
Adapted.Physical.Education.Specialists,Active Learning,3.88
"Adult.Basic.Education,.Adult.Secondary.Education,.and.English.as.a.Second.Language.Instructors",Active Learning,3.25
Self-Enrichment.Teachers,Active Learning,3.12
Tutors,Active Learning,3.5
Archivists,Active Learning,3.25
Curators,Active Learning,4.12
Museum.Technicians.and.Conservators,Active Learning,3.12
Librarians.and.Media.Collections.Specialists,Active Learning,3.5
Library.Technicians,Active Learning,2.88
Farm.and.Home.Management.Educators,Active Learning,4.5
Instructional.Coordinators,Active Learning,4.12
"Teaching.Assistants,.Postsecondary",Active Learning,3.12
Art.Directors,Active Learning,3.75
Craft.Artists,Active Learning,2.62
"Fine.Artists,.Including.Painters,.Sculptors,.and.Illustrators",Active Learning,3.38
Special.Effects.Artists.and.Animators,Active Learning,3.38
Commercial.and.Industrial.Designers,Active Learning,4
Fashion.Designers,Active Learning,3.38
Floral.Designers,Active Learning,2.88
Graphic.Designers,Active Learning,3.12
Interior.Designers,Active Learning,3.25
Merchandise.Displayers.and.Window.Trimmers,Active Learning,3
Set.and.Exhibit.Designers,Active Learning,3.12
Actors,Active Learning,2.62
Producers.and.Directors,Active Learning,3.69
Media.Programming.Directors,Active Learning,3.88
Talent.Directors,Active Learning,3.12
Media.Technical.Directors/Managers,Active Learning,3.62
Athletes.and.Sports.Competitors,Active Learning,3
Coaches.and.Scouts,Active Learning,4
"Umpires,.Referees,.and.Other.Sports.Officials",Active Learning,3
Dancers,Active Learning,2.88
Choreographers,Active Learning,3.25
Music.Directors.and.Composers,Active Learning,3.06
Musicians.and.Singers,Active Learning,2.88
Broadcast.Announcers.and.Radio.Disc.Jockeys,Active Learning,3.25
"News.Analysts,.Reporters,.and.Journalists",Active Learning,3.75
Public.Relations.Specialists,Active Learning,3.62
Editors,Active Learning,3.88
Technical.Writers,Active Learning,3.62
Writers.and.Authors,Active Learning,3.12
"Poets,.Lyricists.and.Creative.Writers",Active Learning,3.88
Interpreters.and.Translators,Active Learning,3
Court.Reporters.and.Simultaneous.Captioners,Active Learning,2.38
Audio.and.Video.Technicians,Active Learning,3
Broadcast.Technicians,Active Learning,3.12
Sound.Engineering.Technicians,Active Learning,3.12
Photographers,Active Learning,3.12
"Camera.Operators,.Television,.Video,.and.Film",Active Learning,3
Film.and.Video.Editors,Active Learning,3.25
Chiropractors,Active Learning,3.88
"Dentists,.General",Active Learning,4.5
Oral.and.Maxillofacial.Surgeons,Active Learning,4.5
Orthodontists,Active Learning,3.88
Prosthodontists,Active Learning,3.25
Dietitians.and.Nutritionists,Active Learning,4.12
Optometrists,Active Learning,3.88
Pharmacists,Active Learning,3.88
Physician.Assistants,Active Learning,4.12
Anesthesiologist.Assistants,Active Learning,3.62
Podiatrists,Active Learning,4.75
Occupational.Therapists,Active Learning,3.88
"Low.Vision.Therapists,.Orientation.and.Mobility.Specialists,.and.Vision.Rehabilitation.Therapists",Active Learning,3.88
Physical.Therapists,Active Learning,3.25
Radiation.Therapists,Active Learning,3
Recreational.Therapists,Active Learning,3.38
Respiratory.Therapists,Active Learning,3.62
Speech-Language.Pathologists,Active Learning,4
Exercise.Physiologists,Active Learning,3.88
Art.Therapists,Active Learning,3.88
Music.Therapists,Active Learning,3.75
Veterinarians,Active Learning,4.38
Registered.Nurses,Active Learning,4.12
Acute.Care.Nurses,Active Learning,3.88
Advanced.Practice.Psychiatric.Nurses,Active Learning,4
Critical.Care.Nurses,Active Learning,4
Clinical.Nurse.Specialists,Active Learning,4.38
Nurse.Anesthetists,Active Learning,4
Nurse.Midwives,Active Learning,4.12
Nurse.Practitioners,Active Learning,4.12
Audiologists,Active Learning,4.38
Anesthesiologists,Active Learning,4.12
Dermatologists,Active Learning,3.88
Family.Medicine.Physicians,Active Learning,4
General.Internal.Medicine.Physicians,Active Learning,4
Neurologists,Active Learning,4.62
Obstetricians.and.Gynecologists,Active Learning,4.12
"Pediatricians,.General",Active Learning,4.12
"Physicians,.Pathologists",Active Learning,4.75
Psychiatrists,Active Learning,4.38
Radiologists,Active Learning,4
Allergists.and.Immunologists,Active Learning,4.62
Hospitalists,Active Learning,4.88
Urologists,Active Learning,3.88
Physical.Medicine.and.Rehabilitation.Physicians,Active Learning,4.25
Preventive.Medicine.Physicians,Active Learning,4.88
Sports.Medicine.Physicians,Active Learning,4.38
"Ophthalmologists,.Except.Pediatric",Active Learning,4.38
Acupuncturists,Active Learning,3.25
Dental.Hygienists,Active Learning,3
Naturopathic.Physicians,Active Learning,3.88
Orthoptists,Active Learning,3.88
Medical.and.Clinical.Laboratory.Technologists,Active Learning,3.88
Cytogenetic.Technologists,Active Learning,3.38
Cytotechnologists,Active Learning,3.5
Medical.and.Clinical.Laboratory.Technicians,Active Learning,3.12
Cardiovascular.Technologists.and.Technicians,Active Learning,3.38
Diagnostic.Medical.Sonographers,Active Learning,3.12
Nuclear.Medicine.Technologists,Active Learning,3.12
Radiologic.Technologists.and.Technicians,Active Learning,3.06
Magnetic.Resonance.Imaging.Technologists,Active Learning,3
Dietetic.Technicians,Active Learning,3.12
Pharmacy.Technicians,Active Learning,3.12
Psychiatric.Technicians,Active Learning,3.25
Surgical.Technologists,Active Learning,3
Veterinary.Technologists.and.Technicians,Active Learning,3
Ophthalmic.Medical.Technicians,Active Learning,3.12
Licensed.Practical.and.Licensed.Vocational.Nurses,Active Learning,3.25
"Opticians,.Dispensing",Active Learning,2.88
Orthotists.and.Prosthetists,Active Learning,4.25
Hearing.Aid.Specialists,Active Learning,3.12
Neurodiagnostic.Technologists,Active Learning,3.38
Ophthalmic.Medical.Technologists,Active Learning,3
Patient.Representatives,Active Learning,3.5
Athletic.Trainers,Active Learning,4
Genetic.Counselors,Active Learning,3.88
Surgical.Assistants,Active Learning,3.12
Midwives,Active Learning,3.62
Home.Health.Aides,Active Learning,3
Personal.Care.Aides,Active Learning,2.75
Nursing.Assistants,Active Learning,2.75
Orderlies,Active Learning,1.88
Psychiatric.Aides,Active Learning,3
Occupational.Therapy.Assistants,Active Learning,3
Occupational.Therapy.Aides,Active Learning,3
Physical.Therapist.Assistants,Active Learning,3.12
Physical.Therapist.Aides,Active Learning,2.75
Massage.Therapists,Active Learning,3
Dental.Assistants,Active Learning,3.12
Medical.Assistants,Active Learning,3.38
Medical.Equipment.Preparers,Active Learning,3
Medical.Transcriptionists,Active Learning,2.88
Pharmacy.Aides,Active Learning,2.5
Veterinary.Assistants.and.Laboratory.Animal.Caretakers,Active Learning,3
Phlebotomists,Active Learning,3
Speech-Language.Pathology.Assistants,Active Learning,2.75
Endoscopy.Technicians,Active Learning,3
First-Line.Supervisors.of.Correctional.Officers,Active Learning,3.25
First-Line.Supervisors.of.Police.and.Detectives,Active Learning,3.88
First-Line.Supervisors.of.Firefighting.and.Prevention.Workers,Active Learning,3.88
Firefighters,Active Learning,3
Fire.Inspectors.and.Investigators,Active Learning,3.62
Forest.Fire.Inspectors.and.Prevention.Specialists,Active Learning,3.25
Bailiffs,Active Learning,2.12
Correctional.Officers.and.Jailers,Active Learning,3
Detectives.and.Criminal.Investigators,Active Learning,3.69
Police.Identification.and.Records.Officers,Active Learning,3.25
Intelligence.Analysts,Active Learning,3.5
Fish.and.Game.Wardens,Active Learning,3.5
Parking.Enforcement.Workers,Active Learning,2.38
Police.and.Sheriff's.Patrol.Officers,Active Learning,3.19
Customs.and.Border.Protection.Officers,Active Learning,3.12
Transit.and.Railroad.Police,Active Learning,3
Animal.Control.Workers,Active Learning,2.88
Private.Detectives.and.Investigators,Active Learning,3.38
Gambling.Surveillance.Officers.and.Gambling.Investigators,Active Learning,3.12
Security.Guards,Active Learning,2.5
Crossing.Guards.and.Flaggers,Active Learning,1.62
"Lifeguards,.Ski.Patrol,.and.Other.Recreational.Protective.Service.Workers",Active Learning,2.75
Transportation.Security.Screeners,Active Learning,3
Retail.Loss.Prevention.Specialists,Active Learning,3
Chefs.and.Head.Cooks,Active Learning,3.75
First-Line.Supervisors.of.Food.Preparation.and.Serving.Workers,Active Learning,3.25
"Cooks,.Fast.Food",Active Learning,2.25
"Cooks,.Institution.and.Cafeteria",Active Learning,2.88
"Cooks,.Private.Household",Active Learning,3.12
"Cooks,.Restaurant",Active Learning,2.75
"Cooks,.Short.Order",Active Learning,2.62
Food.Preparation.Workers,Active Learning,2.12
Bartenders,Active Learning,3
Fast.Food.and.Counter.Workers,Active Learning,2.06
Baristas,Active Learning,2.62
Waiters.and.Waitresses,Active Learning,2.12
"Food.Servers,.Nonrestaurant",Active Learning,2.12
Dining.Room.and.Cafeteria.Attendants.and.Bartender.Helpers,Active Learning,2.12
Dishwashers,Active Learning,2
"Hosts.and.Hostesses,.Restaurant,.Lounge,.and.Coffee.Shop",Active Learning,2.38
First-Line.Supervisors.of.Housekeeping.and.Janitorial.Workers,Active Learning,2.88
"First-Line.Supervisors.of.Landscaping,.Lawn.Service,.and.Groundskeeping.Workers",Active Learning,3
"Janitors.and.Cleaners,.Except.Maids.and.Housekeeping.Cleaners",Active Learning,2
Maids.and.Housekeeping.Cleaners,Active Learning,1.62
Pest.Control.Workers,Active Learning,2.88
Landscaping.and.Groundskeeping.Workers,Active Learning,2
"Pesticide.Handlers,.Sprayers,.and.Applicators,.Vegetation",Active Learning,2.38
Tree.Trimmers.and.Pruners,Active Learning,2.12
First-Line.Supervisors.of.Gambling.Services.Workers,Active Learning,2.88
First-Line.Supervisors.of.Personal.Service.Workers,Active Learning,3
Animal.Trainers,Active Learning,3.12
Animal.Caretakers,Active Learning,2.12
Gambling.Dealers,Active Learning,2.38
Gambling.and.Sports.Book.Writers.and.Runners,Active Learning,2.5
Motion.Picture.Projectionists,Active Learning,2.12
"Ushers,.Lobby.Attendants,.and.Ticket.Takers",Active Learning,2.12
Amusement.and.Recreation.Attendants,Active Learning,2
Costume.Attendants,Active Learning,2.25
"Locker.Room,.Coatroom,.and.Dressing.Room.Attendants",Active Learning,2
Embalmers,Active Learning,3
Funeral.Attendants,Active Learning,1.5
"Morticians,.Undertakers,.and.Funeral.Arrangers",Active Learning,3.25
Barbers,Active Learning,2.5
"Hairdressers,.Hairstylists,.and.Cosmetologists",Active Learning,3
"Makeup.Artists,.Theatrical.and.Performance",Active Learning,3.25
Manicurists.and.Pedicurists,Active Learning,2.25
Shampooers,Active Learning,2
Skincare.Specialists,Active Learning,2.88
Baggage.Porters.and.Bellhops,Active Learning,2.12
Concierges,Active Learning,2.88
Tour.Guides.and.Escorts,Active Learning,2.38
Travel.Guides,Active Learning,2.88
Childcare.Workers,Active Learning,3
Nannies,Active Learning,3
Exercise.Trainers.and.Group.Fitness.Instructors,Active Learning,2.88
Recreation.Workers,Active Learning,3.12
Residential.Advisors,Active Learning,3
First-Line.Supervisors.of.Retail.Sales.Workers,Active Learning,3.38
First-Line.Supervisors.of.Non-Retail.Sales.Workers,Active Learning,3.62
Cashiers,Active Learning,2.25
Gambling.Change.Persons.and.Booth.Cashiers,Active Learning,2.12
Counter.and.Rental.Clerks,Active Learning,2.25
Parts.Salespersons,Active Learning,3
Retail.Salespersons,Active Learning,2.88
Advertising.Sales.Agents,Active Learning,3.62
Insurance.Sales.Agents,Active Learning,3.38
"Securities,.Commodities,.and.Financial.Services.Sales.Agents",Active Learning,3.69
Travel.Agents,Active Learning,3.12
"Sales.Representatives,.Wholesale.and.Manufacturing,.Technical.and.Scientific.Products",Active Learning,3.75
Solar.Sales.Representatives.and.Assessors,Active Learning,3.38
"Sales.Representatives,.Wholesale.and.Manufacturing,.Except.Technical.and.Scientific.Products",Active Learning,3.25
Demonstrators.and.Product.Promoters,Active Learning,3
Models,Active Learning,1.62
Real.Estate.Brokers,Active Learning,3.75
Real.Estate.Sales.Agents,Active Learning,3.25
Sales.Engineers,Active Learning,3.88
Telemarketers,Active Learning,1.5
"Door-to-Door.Sales.Workers,.News.and.Street.Vendors,.and.Related.Workers",Active Learning,2.62
First-Line.Supervisors.of.Office.and.Administrative.Support.Workers,Active Learning,3.75
"Switchboard.Operators,.Including.Answering.Service",Active Learning,2.25
Telephone.Operators,Active Learning,2
Bill.and.Account.Collectors,Active Learning,2.75
Billing.and.Posting.Clerks,Active Learning,2.63
"Bookkeeping,.Accounting,.and.Auditing.Clerks",Active Learning,3.12
Gambling.Cage.Workers,Active Learning,2.25
Payroll.and.Timekeeping.Clerks,Active Learning,2.88
Procurement.Clerks,Active Learning,3.5
Tellers,Active Learning,3
Brokerage.Clerks,Active Learning,3
Correspondence.Clerks,Active Learning,2.75
"Court,.Municipal,.and.License.Clerks",Active Learning,3
